"JURISDICTION","AGE_GROUP","DETECTION_METHOD","Month","DETECTION_TYPE","Sum(FINES)","POPULATION"
"ACT","0-16","Fixed camera",1,"camera_issued",1,83100
"ACT","0-16","Fixed camera",2,"camera_issued",1,83100
"ACT","0-16","Fixed camera",3,"camera_issued",1,83100
"ACT","0-16","Fixed camera",4,"camera_issued",1,83100
"ACT","0-16","Fixed camera",5,"camera_issued",1,83100
"ACT","0-16","Fixed camera",6,"camera_issued",1,83100
"ACT","0-16","Fixed camera",7,"camera_issued",2,83100
"ACT","0-16","Fixed camera",8,"camera_issued",2,83100
"ACT","0-16","Fixed camera",9,"camera_issued",2,83100
"ACT","0-16","Fixed camera",10,"camera_issued",1,83100
"ACT","0-16","Fixed camera",12,"camera_issued",2,83100
"ACT","0-16","Mobile camera",3,"camera_issued",1,83100
"ACT","0-16","Mobile camera",4,"camera_issued",1,83100
"ACT","0-16","Mobile camera",5,"camera_issued",1,83100
"ACT","0-16","Mobile camera",8,"camera_issued",1,83100
"ACT","0-16","Mobile camera",9,"camera_issued",1,83100
"ACT","0-16","Mobile camera",10,"camera_issued",2,83100
"ACT","0-16","Mobile camera",12,"camera_issued",1,83100
"ACT","0-16","Police issued",1,"police_issued",2,83100
"ACT","0-16","Police issued",2,"police_issued",1,83100
"ACT","0-16","Police issued",3,"police_issued",7,83100
"ACT","0-16","Police issued",4,"police_issued",2,83100
"ACT","0-16","Police issued",5,"police_issued",3,83100
"ACT","0-16","Police issued",6,"police_issued",2,83100
"ACT","0-16","Police issued",7,"police_issued",2,83100
"ACT","0-16","Police issued",8,"police_issued",4,83100
"ACT","0-16","Police issued",9,"police_issued",3,83100
"ACT","0-16","Police issued",10,"police_issued",1,83100
"ACT","0-16","Police issued",11,"police_issued",4,83100
"ACT","0-16","Police issued",12,"police_issued",4,83100
"ACT","17-25","Fixed camera",1,"camera_issued",559,63392
"ACT","17-25","Fixed camera",2,"camera_issued",508,63392
"ACT","17-25","Fixed camera",3,"camera_issued",538,63392
"ACT","17-25","Fixed camera",4,"camera_issued",582,63392
"ACT","17-25","Fixed camera",5,"camera_issued",510,63392
"ACT","17-25","Fixed camera",6,"camera_issued",452,63392
"ACT","17-25","Fixed camera",7,"camera_issued",407,63392
"ACT","17-25","Fixed camera",8,"camera_issued",473,63392
"ACT","17-25","Fixed camera",9,"camera_issued",462,63392
"ACT","17-25","Fixed camera",10,"camera_issued",491,63392
"ACT","17-25","Fixed camera",11,"camera_issued",473,63392
"ACT","17-25","Fixed camera",12,"camera_issued",524,63392
"ACT","17-25","Mobile camera",1,"camera_issued",143,63392
"ACT","17-25","Mobile camera",2,"camera_issued",220,63392
"ACT","17-25","Mobile camera",3,"camera_issued",222,63392
"ACT","17-25","Mobile camera",4,"camera_issued",157,63392
"ACT","17-25","Mobile camera",5,"camera_issued",178,63392
"ACT","17-25","Mobile camera",6,"camera_issued",176,63392
"ACT","17-25","Mobile camera",7,"camera_issued",204,63392
"ACT","17-25","Mobile camera",8,"camera_issued",194,63392
"ACT","17-25","Mobile camera",9,"camera_issued",207,63392
"ACT","17-25","Mobile camera",10,"camera_issued",224,63392
"ACT","17-25","Mobile camera",11,"camera_issued",223,63392
"ACT","17-25","Mobile camera",12,"camera_issued",177,63392
"ACT","17-25","Police issued",1,"police_issued",59,63392
"ACT","17-25","Police issued",2,"police_issued",27,63392
"ACT","17-25","Police issued",3,"police_issued",52,63392
"ACT","17-25","Police issued",4,"police_issued",99,63392
"ACT","17-25","Police issued",5,"police_issued",55,63392
"ACT","17-25","Police issued",6,"police_issued",42,63392
"ACT","17-25","Police issued",7,"police_issued",83,63392
"ACT","17-25","Police issued",8,"police_issued",61,63392
"ACT","17-25","Police issued",9,"police_issued",70,63392
"ACT","17-25","Police issued",10,"police_issued",38,63392
"ACT","17-25","Police issued",11,"police_issued",55,63392
"ACT","17-25","Police issued",12,"police_issued",62,63392
"ACT","26-39","Fixed camera",1,"camera_issued",1550,120292
"ACT","26-39","Fixed camera",2,"camera_issued",1149,120292
